direction,modern_section,modern_title,legacy_section,legacy_title,score,reason
companies_2013_to_1956,171,"Members’ right to inspect.—(1) The register kept under sub-section (1) of section 170,",144,RIGHT TO INSPECT COPIES OF INSTRUMENTS CREATING CHARGES AND COMPANY'S REGISTER OF,4.000,"shared_keywords=['inspect', 'register', 'right']; title_jaccard=0.33"
companies_1956_to_2013,171,"Members’ right to inspect.—(1) The register kept under sub-section (1) of section 170,",144,RIGHT TO INSPECT COPIES OF INSTRUMENTS CREATING CHARGES AND COMPANY'S REGISTER OF,4.000,"shared_keywords=['inspect', 'register', 'right']; title_jaccard=0.33"
companies_2013_to_1956,384,"Debentures, annual return, registration of charges, books of account and their inspection",209A,"INSPECTION OF BOOKS OF ACCOUNT, ETC., OF COMPANIES",4.000,"shared_keywords=['account', 'books', 'inspection']; title_jaccard=0.33"
companies_1956_to_2013,384,"Debentures, annual return, registration of charges, books of account and their inspection",209A,"INSPECTION OF BOOKS OF ACCOUNT, ETC., OF COMPANIES",4.000,"shared_keywords=['account', 'books', 'inspection']; title_jaccard=0.33"
companies_2013_to_1956,388,"Provisions as to expert’s consent and allotment. —(1) No person shall issue, circulate or",58,EXPERT'S CONSENT TO ISSUE OF PROSPECTUS CONTAINING STATEMENT BY HIM,4.000,"shared_keywords=['consent', 'expert', 'issue']; title_jaccard=0.33"
companies_1956_to_2013,388,"Provisions as to expert’s consent and allotment. —(1) No person shall issue, circulate or",58,EXPERT'S CONSENT TO ISSUE OF PROSPECTUS CONTAINING STATEMENT BY HIM,4.000,"shared_keywords=['consent', 'expert', 'issue']; title_jaccard=0.33"
companies_2013_to_1956,83,"(i) Subject to the rights of persons, if any, entitled to shares with special rights as to dividends, all dividends",106,ALTERATION OF RIGHTS OF HOLDERS OF SPECIAL CLASSES OF SHARES,3.900,"shared_keywords=['rights', 'shares', 'special']; title_jaccard=0.30"
companies_1956_to_2013,83,"(i) Subject to the rights of persons, if any, entitled to shares with special rights as to dividends, all dividends",106,ALTERATION OF RIGHTS OF HOLDERS OF SPECIAL CLASSES OF SHARES,3.900,"shared_keywords=['rights', 'shares', 'special']; title_jaccard=0.30"
companies_2013_to_1956,73,Prohibition on acceptance of deposits from public.—(1) On and after the commencement of this,88,Prohibition of issue of shares with disproportionate rights . - No company formed after the commencement,3.818,"shared_keywords=['after', 'commencement', 'prohibition']; title_jaccard=0.27"
companies_1956_to_2013,73,Prohibition on acceptance of deposits from public.—(1) On and after the commencement of this,88,Prohibition of issue of shares with disproportionate rights . - No company formed after the commencement,3.818,"shared_keywords=['after', 'commencement', 'prohibition']; title_jaccard=0.27"
companies_2013_to_1956,109,Demand for poll.—(1) Before or on the declaration of the result of the voting on any resolution,178,CHAIRMAN'S DECLARATION OF RESULT OF VOTING BY SHOW OF HANDS TO BE CONCLUSIVE,3.818,"shared_keywords=['declaration', 'result', 'voting']; title_jaccard=0.27"
companies_1956_to_2013,109,Demand for poll.—(1) Before or on the declaration of the result of the voting on any resolution,178,CHAIRMAN'S DECLARATION OF RESULT OF VOTING BY SHOW OF HANDS TO BE CONCLUSIVE,3.818,"shared_keywords=['declaration', 'result', 'voting']; title_jaccard=0.27"
companies_2013_to_1956,215,"Firm, body corporate or associati on not to be appointed as inspector. —No firm, body",204,RESTRICTION ON APPOINTMENT OF FIRM OR BODY CORPORATE TO OFFICE OR PLACE OF PROFIT,3.818,"shared_keywords=['body', 'corporate', 'firm']; title_jaccard=0.27"
companies_1956_to_2013,215,"Firm, body corporate or associati on not to be appointed as inspector. —No firm, body",204,RESTRICTION ON APPOINTMENT OF FIRM OR BODY CORPORATE TO OFFICE OR PLACE OF PROFIT,3.818,"shared_keywords=['body', 'corporate', 'firm']; title_jaccard=0.27"
companies_2013_to_1956,383,"Service on foreign company.—Any process, notice, or other document required to be served on",172,CONTENTS AND MANNER OF SERVICE OF NOTICE AND PERSONS ON WHOM IT IS TO BE SERVED,3.818,"shared_keywords=['notice', 'served', 'service']; title_jaccard=0.27"
companies_1956_to_2013,383,"Service on foreign company.—Any process, notice, or other document required to be served on",172,CONTENTS AND MANNER OF SERVICE OF NOTICE AND PERSONS ON WHOM IT IS TO BE SERVED,3.818,"shared_keywords=['notice', 'served', 'service']; title_jaccard=0.27"
companies_2013_to_1956,3A,Members severally liable in certain cases.-If at any time the number of members of a company,45,MEMBERS SEVERALLY LIABLE FOR DEBTS WHERE BUSINESS CARRIED ON WITH FEWER THAN,3.750,"shared_keywords=['liable', 'members', 'severally']; title_jaccard=0.25"
companies_1956_to_2013,3A,Members severally liable in certain cases.-If at any time the number of members of a company,45,MEMBERS SEVERALLY LIABLE FOR DEBTS WHERE BUSINESS CARRIED ON WITH FEWER THAN,3.750,"shared_keywords=['liable', 'members', 'severally']; title_jaccard=0.25"
companies_2013_to_1956,5,Regulatory Deferral Account Balances shall be presented in the Balance Sheet in accordance with the,211,FORM AND CONTENTS OF BALANCE SHEET AND PROFIT AND LOSS ACCOUNT,3.750,"shared_keywords=['account', 'balance', 'sheet']; title_jaccard=0.25"
companies_1956_to_2013,5,Regulatory Deferral Account Balances shall be presented in the Balance Sheet in accordance with the,211,FORM AND CONTENTS OF BALANCE SHEET AND PROFIT AND LOSS ACCOUNT,3.750,"shared_keywords=['account', 'balance', 'sheet']; title_jaccard=0.25"
companies_2013_to_1956,136,Right of member to copies of audited financia l statement.—(1) 7*** a copy of the financial,219,RIGHT OF MEMBER TO COPIES OF BALANCE SHEET AND AUDITORS' REPORT,3.750,"shared_keywords=['copies', 'member', 'right']; title_jaccard=0.25"
companies_1956_to_2013,136,Right of member to copies of audited financia l statement.—(1) 7*** a copy of the financial,219,RIGHT OF MEMBER TO COPIES OF BALANCE SHEET AND AUDITORS' REPORT,3.750,"shared_keywords=['copies', 'member', 'right']; title_jaccard=0.25"
companies_2013_to_1956,47,"Voting rights.—(1) Subject to the 2[provisions of section 43, sub-section (2) of section 50 and sub",87,VOTING RIGHTS,3.500,"shared_keywords=['rights', 'voting']; title_jaccard=0.50"
companies_1956_to_2013,47,"Voting rights.—(1) Subject to the 2[provisions of section 43, sub-section (2) of section 50 and sub",87,VOTING RIGHTS,3.500,"shared_keywords=['rights', 'voting']; title_jaccard=0.50"
companies_2013_to_1956,122,Applicability of this Chapter to One Person Company.—(1) The provisions of section 98 and,108G,APPLICABILITY OF THE PROVISIONS OF SECTIONS 108A TO 108F,3.500,"shared_keywords=['applicability', 'provisions']; title_jaccard=0.50"
companies_1956_to_2013,122,Applicability of this Chapter to One Person Company.—(1) The provisions of section 98 and,108G,APPLICABILITY OF THE PROVISIONS OF SECTIONS 108A TO 108F,3.500,"shared_keywords=['applicability', 'provisions']; title_jaccard=0.50"
companies_2013_to_1956,242,"Powers of Tribunal.—(1) If, on any application made under section 241, the Tribunal is of the",10C,POWERS OF TRIBUNAL,3.500,"shared_keywords=['powers', 'tribunal']; title_jaccard=0.50"
companies_1956_to_2013,242,"Powers of Tribunal.—(1) If, on any application made under section 241, the Tribunal is of the",10C,POWERS OF TRIBUNAL,3.500,"shared_keywords=['powers', 'tribunal']; title_jaccard=0.50"
companies_2013_to_1956,424,Procedure before Tribunal and Appellate Tribunal. —(1) The Tribunal and the Appellate,10B,PROCEDURE OF TRIBUNAL,3.500,"shared_keywords=['procedure', 'tribunal']; title_jaccard=0.50"
companies_1956_to_2013,424,Procedure before Tribunal and Appellate Tribunal. —(1) The Tribunal and the Appellate,10B,PROCEDURE OF TRIBUNAL,3.500,"shared_keywords=['procedure', 'tribunal']; title_jaccard=0.50"
companies_2013_to_1956,174,Quorum for meetings of Board.—(1) The quorum for a meeting of the Board of Directors of a,174,QUORUM FOR MEETING,3.450,"shared_keywords=['meeting', 'quorum']; title_jaccard=0.40"
companies_1956_to_2013,174,Quorum for meetings of Board.—(1) The quorum for a meeting of the Board of Directors of a,174,QUORUM FOR MEETING,3.450,"shared_keywords=['meeting', 'quorum']; title_jaccard=0.40"
companies_2013_to_1956,10A,"Commencement of business, etc. —(1) A company incorporated after the commencement of",149,RESTRICTIONS ON COMMENCEMENT OF BUSINESS,3.200,"shared_keywords=['business', 'commencement']; title_jaccard=0.40"
companies_1956_to_2013,10A,"Commencement of business, etc. —(1) A company incorporated after the commencement of",149,RESTRICTIONS ON COMMENCEMENT OF BUSINESS,3.200,"shared_keywords=['business', 'commencement']; title_jaccard=0.40"
companies_2013_to_1956,16,"Rectification of name of company.—(1) If, through inadvertence or otherwise, a company on its",22,RECTIFICATION OF NAME OF COMPANY,3.200,"shared_keywords=['name', 'rectification']; title_jaccard=0.40"
companies_1956_to_2013,16,"Rectification of name of company.—(1) If, through inadvertence or otherwise, a company on its",22,RECTIFICATION OF NAME OF COMPANY,3.200,"shared_keywords=['name', 'rectification']; title_jaccard=0.40"
companies_2013_to_1956,38,"Punishment for personation for acquisition, etc., of securities.—(1) Any person who",68A,"PERSONATION FOR ACQUISITION, ETC., OF SHARES",3.200,"shared_keywords=['acquisition', 'personation']; title_jaccard=0.40"
companies_1956_to_2013,38,"Punishment for personation for acquisition, etc., of securities.—(1) Any person who",68A,"PERSONATION FOR ACQUISITION, ETC., OF SHARES",3.200,"shared_keywords=['acquisition', 'personation']; title_jaccard=0.40"
companies_2013_to_1956,46,"Certificate of shares.—(1) A certificate, 1[issued under the common seal, if any, of the company",84,CERTIFICATE OF SHARES,3.200,"shared_keywords=['certificate', 'shares']; title_jaccard=0.40"
companies_1956_to_2013,46,"Certificate of shares.—(1) A certificate, 1[issued under the common seal, if any, of the company",84,CERTIFICATE OF SHARES,3.200,"shared_keywords=['certificate', 'shares']; title_jaccard=0.40"
companies_2013_to_1956,56,Transfer and transmission of securities.—(1) A company shall not register a transfer of securities,111A,RECTIFICATION OF REGISTER ON TRANSFER,3.200,"shared_keywords=['register', 'transfer']; title_jaccard=0.40"
companies_1956_to_2013,56,Transfer and transmission of securities.—(1) A company shall not register a transfer of securities,111A,RECTIFICATION OF REGISTER ON TRANSFER,3.200,"shared_keywords=['register', 'transfer']; title_jaccard=0.40"
companies_2013_to_1956,68,Power of company to purchase its own securities. —(1) Notwithstanding anything contained in,77A,POWER OF COMPANY TO PURCHASE ITS OWN SECURITIES,3.200,"shared_keywords=['purchase', 'securities']; title_jaccard=0.40"
companies_1956_to_2013,68,Power of company to purchase its own securities. —(1) Notwithstanding anything contained in,77A,POWER OF COMPANY TO PURCHASE ITS OWN SECURITIES,3.200,"shared_keywords=['purchase', 'securities']; title_jaccard=0.40"
companies_2013_to_1956,234,Merger or amalgamation o f company with foreign company. —(1) The provisions of this,158,PROVISIONS AS TO FOREIGN REGISTERS,3.200,"shared_keywords=['foreign', 'provisions']; title_jaccard=0.40"
companies_1956_to_2013,234,Merger or amalgamation o f company with foreign company. —(1) The provisions of this,158,PROVISIONS AS TO FOREIGN REGISTERS,3.200,"shared_keywords=['foreign', 'provisions']; title_jaccard=0.40"
companies_2013_to_1956,367,Certificate of registration of existing companies.—On compliance with the requirements of this,132,CERTIFICATE OF REGISTRATION,3.200,"shared_keywords=['certificate', 'registration']; title_jaccard=0.40"
companies_1956_to_2013,367,Certificate of registration of existing companies.—On compliance with the requirements of this,132,CERTIFICATE OF REGISTRATION,3.200,"shared_keywords=['certificate', 'registration']; title_jaccard=0.40"
companies_2013_to_1956,371,Effect of registration under this Part.—(1) When a company is registered in pursuance of this,34,EFFECT OF REGISTRATION,3.200,"shared_keywords=['effect', 'registration']; title_jaccard=0.40"
companies_1956_to_2013,371,Effect of registration under this Part.—(1) When a company is registered in pursuance of this,34,EFFECT OF REGISTRATION,3.200,"shared_keywords=['effect', 'registration']; title_jaccard=0.40"
companies_2013_to_1956,380,"Documents, etc., to be delivered to Registrar by foreign companies. —(1) Every foreign",52,SERVICE OF DOCUMENTS ON REGISTRAR,3.200,"shared_keywords=['documents', 'registrar']; title_jaccard=0.40"
companies_1956_to_2013,380,"Documents, etc., to be delivered to Registrar by foreign companies. —(1) Every foreign",52,SERVICE OF DOCUMENTS ON REGISTRAR,3.200,"shared_keywords=['documents', 'registrar']; title_jaccard=0.40"
companies_2013_to_1956,408,"Constitution of National Company Law Tribunal. —The Central Government shall, by",10A,CONSTITUTION OF TRIBUNAL,3.200,"shared_keywords=['constitution', 'tribunal']; title_jaccard=0.40"
companies_1956_to_2013,408,"Constitution of National Company Law Tribunal. —The Central Government shall, by",10A,CONSTITUTION OF TRIBUNAL,3.200,"shared_keywords=['constitution', 'tribunal']; title_jaccard=0.40"
companies_2013_to_1956,425,Power to punish for contempt.— The Tribunal and the Appellate Tribunal shall have the same,10G,POWER TO PUNISH FOR CONTEMPT,3.200,"shared_keywords=['contempt', 'punish']; title_jaccard=0.40"
companies_1956_to_2013,425,Power to punish for contempt.— The Tribunal and the Appellate Tribunal shall have the same,10G,POWER TO PUNISH FOR CONTEMPT,3.200,"shared_keywords=['contempt', 'punish']; title_jaccard=0.40"
companies_2013_to_1956,454A,Penalty for repeated default. —Where a company or an officer of a company or any other,5,"MEANING OF \""OFFICER WHO IS IN DEFAULT\",3.200,"shared_keywords=['default', 'officer']; title_jaccard=0.40"
companies_1956_to_2013,454A,Penalty for repeated default. —Where a company or an officer of a company or any other,5,"MEANING OF \""OFFICER WHO IS IN DEFAULT\",3.200,"shared_keywords=['default', 'officer']; title_jaccard=0.40"
companies_2013_to_1956,19,"Subsidiary company not to hold shares in its holding company.—(1) No company shall, either",4,"MEANING OF \""HOLDING COMPANY\"" AND \""SUBSIDIARY\",3.000,"shared_keywords=['holding', 'subsidiary']; title_jaccard=0.33"
companies_1956_to_2013,19,"Subsidiary company not to hold shares in its holding company.—(1) No company shall, either",4,"MEANING OF \""HOLDING COMPANY\"" AND \""SUBSIDIARY\",3.000,"shared_keywords=['holding', 'subsidiary']; title_jaccard=0.33"
companies_2013_to_1956,20,Service of documents. —(1) A document may be served on a company or an officer thereof by,51,SERVICE OF DOCUMENTS ON COMPANY,3.000,"shared_keywords=['documents', 'service']; title_jaccard=0.33"
companies_1956_to_2013,20,Service of documents. —(1) A document may be served on a company or an officer thereof by,51,SERVICE OF DOCUMENTS ON COMPANY,3.000,"shared_keywords=['documents', 'service']; title_jaccard=0.33"
companies_2013_to_1956,67,Restriction on purchase by company or giving of loans by it for purchase of its shares. —(1),77,"RESTRICTIONS ON PURCHASE BY COMPANY, OR LOANS BY COMPANY FOR PURCHASE, OF ITS OWN",3.000,"shared_keywords=['loans', 'purchase']; title_jaccard=0.33"
companies_1956_to_2013,67,Restriction on purchase by company or giving of loans by it for purchase of its shares. —(1),77,"RESTRICTIONS ON PURCHASE BY COMPANY, OR LOANS BY COMPANY FOR PURCHASE, OF ITS OWN",3.000,"shared_keywords=['loans', 'purchase']; title_jaccard=0.33"
companies_2013_to_1956,77,"Duty to register charges, etc.—(1) It shall be the duty of every company creating a charge within",143,COMPANY'S REGISTER OF CHARGES,3.000,"shared_keywords=['charges', 'register']; title_jaccard=0.33"
companies_1956_to_2013,77,"Duty to register charges, etc.—(1) It shall be the duty of every company creating a charge within",143,COMPANY'S REGISTER OF CHARGES,3.000,"shared_keywords=['charges', 'register']; title_jaccard=0.33"
companies_2013_to_1956,111,"Circulation of members’ resolution. —(1) A company shall, on requisition in writing of such",188,CIRCULATION OF MEMBERS' RESOLUTIONS,3.000,"shared_keywords=['circulation', 'members']; title_jaccard=0.33"
companies_1956_to_2013,111,"Circulation of members’ resolution. —(1) A company shall, on requisition in writing of such",188,CIRCULATION OF MEMBERS' RESOLUTIONS,3.000,"shared_keywords=['circulation', 'members']; title_jaccard=0.33"
companies_2013_to_1956,123,Declaration of dividend. —(1) No dividend shall be declared or paid by a company for any,205,DIVIDEND TO BE PAID ONLY OUT OF PROFITS,3.000,"shared_keywords=['dividend', 'paid']; title_jaccard=0.33"
companies_1956_to_2013,123,Declaration of dividend. —(1) No dividend shall be declared or paid by a company for any,205,DIVIDEND TO BE PAID ONLY OUT OF PROFITS,3.000,"shared_keywords=['dividend', 'paid']; title_jaccard=0.33"
companies_2013_to_1956,134,"Financial statement, Board’s report, etc.— 2[(1) The financial statement, including consolidated",217,BOARD'S REPORT,3.000,"shared_keywords=['board', 'report']; title_jaccard=0.33"
companies_1956_to_2013,134,"Financial statement, Board’s report, etc.— 2[(1) The financial statement, including consolidated",217,BOARD'S REPORT,3.000,"shared_keywords=['board', 'report']; title_jaccard=0.33"
companies_2013_to_1956,387,"Dating of prospectus and particulars to be contained therein. —(1) No person shall issue,",55,DATING OF PROSPECTUS,3.000,"shared_keywords=['dating', 'prospectus']; title_jaccard=0.33"
companies_1956_to_2013,387,"Dating of prospectus and particulars to be contained therein. —(1) No person shall issue,",55,DATING OF PROSPECTUS,3.000,"shared_keywords=['dating', 'prospectus']; title_jaccard=0.33"
companies_2013_to_1956,389,"Registration of prospectus.—No person shall issue, circulate or distribute in India any prospectus",60,REGISTRATION OF PROSPECTUS,3.000,"shared_keywords=['prospectus', 'registration']; title_jaccard=0.33"
companies_1956_to_2013,389,"Registration of prospectus.—No person shall issue, circulate or distribute in India any prospectus",60,REGISTRATION OF PROSPECTUS,3.000,"shared_keywords=['prospectus', 'registration']; title_jaccard=0.33"
companies_2013_to_1956,433,"Limitation. —The provisions of the Limitation Act, 1963 (36 of 1963) shall, as far as may be, apply to",58B,PROVISIONS RELATING TO PROSPECTUS TO APPLY TO ADVERTISEMENT,3.000,"shared_keywords=['apply', 'provisions']; title_jaccard=0.33"
companies_1956_to_2013,433,"Limitation. —The provisions of the Limitation Act, 1963 (36 of 1963) shall, as far as may be, apply to",58B,PROVISIONS RELATING TO PROSPECTUS TO APPLY TO ADVERTISEMENT,3.000,"shared_keywords=['apply', 'provisions']; title_jaccard=0.33"
companies_2013_to_1956,31,"Shelf prospectus.—(1) Any class or classes of companies, as the Securities and Exchange Board",60A,SHELF PROSPECTUS,2.857,"shared_keywords=['prospectus', 'shelf']; title_jaccard=0.29"
companies_1956_to_2013,31,"Shelf prospectus.—(1) Any class or classes of companies, as the Securities and Exchange Board",60A,SHELF PROSPECTUS,2.857,"shared_keywords=['prospectus', 'shelf']; title_jaccard=0.29"
companies_2013_to_1956,57,Punishment for personation of shareholder. —If any person deceitfully personates as an owner,116,PENALTY FOR PERSONATION OF SHAREHOLDER,2.857,"shared_keywords=['personation', 'shareholder']; title_jaccard=0.29"
companies_1956_to_2013,57,Punishment for personation of shareholder. —If any person deceitfully personates as an owner,116,PENALTY FOR PERSONATION OF SHAREHOLDER,2.857,"shared_keywords=['personation', 'shareholder']; title_jaccard=0.29"
companies_2013_to_1956,59,"Rectification of register of members.—(1) If the name of any person is, without sufficient cause,",150,REGISTER OF MEMBERS,2.857,"shared_keywords=['members', 'register']; title_jaccard=0.29"
companies_1956_to_2013,59,"Rectification of register of members.—(1) If the name of any person is, without sufficient cause,",150,REGISTER OF MEMBERS,2.857,"shared_keywords=['members', 'register']; title_jaccard=0.29"
companies_2013_to_1956,86,Punishment for contravention.—1[ 2[(1)] If any company is in default in complying with any of,43,CONSEQUENCES OF DEFAULT IN COMPLYING WITH CONDITIONS CONSTITUTING A COMPANY A,2.857,"shared_keywords=['complying', 'default']; title_jaccard=0.29"
companies_1956_to_2013,86,Punishment for contravention.—1[ 2[(1)] If any company is in default in complying with any of,43,CONSEQUENCES OF DEFAULT IN COMPLYING WITH CONDITIONS CONSTITUTING A COMPANY A,2.857,"shared_keywords=['complying', 'default']; title_jaccard=0.29"
companies_2013_to_1956,95,"Registers, etc., to be evidence. —The registers, their indices and copies of annual returns",164,"REGISTERS, ETC., TO BE EVIDENCE",2.857,"shared_keywords=['evidence', 'registers']; title_jaccard=0.29"
companies_1956_to_2013,95,"Registers, etc., to be evidence. —The registers, their indices and copies of annual returns",164,"REGISTERS, ETC., TO BE EVIDENCE",2.857,"shared_keywords=['evidence', 'registers']; title_jaccard=0.29"
companies_2013_to_1956,110,"Postal ballot.—(1) Notwithstanding anything contained in this Act, a company",192A,PASSING OF RESOLUTIONS BY POSTAL BALLOT,2.857,"shared_keywords=['ballot', 'postal']; title_jaccard=0.29"
companies_1956_to_2013,110,"Postal ballot.—(1) Notwithstanding anything contained in this Act, a company",192A,PASSING OF RESOLUTIONS BY POSTAL BALLOT,2.857,"shared_keywords=['ballot', 'postal']; title_jaccard=0.29"
companies_2013_to_1956,114,Ordinary and special resolutions.—(1) A resolution shall be an ordinary resolution if the notice,31,ALTERATION OF ARTICLES BY SPECIAL RESOLUTION,2.857,"shared_keywords=['resolution', 'special']; title_jaccard=0.29"
companies_1956_to_2013,114,Ordinary and special resolutions.—(1) A resolution shall be an ordinary resolution if the notice,31,ALTERATION OF ARTICLES BY SPECIAL RESOLUTION,2.857,"shared_keywords=['resolution', 'special']; title_jaccard=0.29"
companies_2013_to_1956,193,Contract by One Person Company.—(1) Where One Person Company limited by shares or by,28,ADOPTION AND APPLICATION OF TABLE A IN THE CASE OF COMPANIES LIMITED BY SHARES,2.857,"shared_keywords=['limited', 'shares']; title_jaccard=0.29"
companies_1956_to_2013,193,Contract by One Person Company.—(1) Where One Person Company limited by shares or by,28,ADOPTION AND APPLICATION OF TABLE A IN THE CASE OF COMPANIES LIMITED BY SHARES,2.857,"shared_keywords=['limited', 'shares']; title_jaccard=0.29"
companies_2013_to_1956,386,"Interpretation.—For the purposes of the foregoing provisions of this Chapter,",65,INTERPRETATION OF PROVISIONS RELATING TO PROSPECTUSES,2.857,"shared_keywords=['interpretation', 'provisions']; title_jaccard=0.29"
companies_1956_to_2013,386,"Interpretation.—For the purposes of the foregoing provisions of this Chapter,",65,INTERPRETATION OF PROVISIONS RELATING TO PROSPECTUSES,2.857,"shared_keywords=['interpretation', 'provisions']; title_jaccard=0.29"
companies_2013_to_1956,414,"Sal ary, allowances and other terms and conditions of service of Members. —The salary,",53,SERVICE OF DOCUMENTS ON MEMBERS BY COMPANY,2.857,"shared_keywords=['members', 'service']; title_jaccard=0.29"
companies_1956_to_2013,414,"Sal ary, allowances and other terms and conditions of service of Members. —The salary,",53,SERVICE OF DOCUMENTS ON MEMBERS BY COMPANY,2.857,"shared_keywords=['members', 'service']; title_jaccard=0.29"
companies_2013_to_1956,199,Recovery of remuneration in certain cases.—Without prejudice to any liability incurred under,199,"CALCULATION OF COMMISSION, ETC., IN CERTAIN CASES",2.850,"shared_keywords=['cases', 'certain']; title_jaccard=0.20"
companies_1956_to_2013,199,Recovery of remuneration in certain cases.—Without prejudice to any liability incurred under,199,"CALCULATION OF COMMISSION, ETC., IN CERTAIN CASES",2.850,"shared_keywords=['cases', 'certain']; title_jaccard=0.20"
companies_2013_to_1956,180,Restrictions on powers of Board.—(1) The Board of Directors of a company shall exercise the,182,RESTRICTIONS ON EXERCISE OF VOTING RIGHT IN OTHER CASES TO BE VOID,2.767,"shared_keywords=['exercise', 'restrictions']; title_jaccard=0.22"
companies_1956_to_2013,180,Restrictions on powers of Board.—(1) The Board of Directors of a company shall exercise the,182,RESTRICTIONS ON EXERCISE OF VOTING RIGHT IN OTHER CASES TO BE VOID,2.767,"shared_keywords=['exercise', 'restrictions']; title_jaccard=0.22"
companies_2013_to_1956,184,Disclosure of interest by director.—(1) Every director shall at the first meeting of the Board in,186,Power of Company Law Board to order meeting to be called. - (1) If for any reason it is impracticable to,2.767,"shared_keywords=['board', 'meeting']; title_jaccard=0.22"
companies_1956_to_2013,184,Disclosure of interest by director.—(1) Every director shall at the first meeting of the Board in,186,Power of Company Law Board to order meeting to be called. - (1) If for any reason it is impracticable to,2.767,"shared_keywords=['board', 'meeting']; title_jaccard=0.22"
companies_2013_to_1956,14,Alteration of articles.—(1) Subject to the provisions of this Act and the conditions contained in,38,EFFECT OF ALTERATION IN MEMORANDUM OR ARTICLES,2.750,"shared_keywords=['alteration', 'articles']; title_jaccard=0.25"
companies_1956_to_2013,14,Alteration of articles.—(1) Subject to the provisions of this Act and the conditions contained in,38,EFFECT OF ALTERATION IN MEMORANDUM OR ARTICLES,2.750,"shared_keywords=['alteration', 'articles']; title_jaccard=0.25"
companies_2013_to_1956,23,Public offer and private placement.—(1) A public company may issue securities,3,"DEFINITIONS OF \""COMPANY\"", \""EXISTING COMPANY\"", \""PRIVATE COMPANY\"" AND \""PUBLIC COMPANY\",2.750,"shared_keywords=['private', 'public']; title_jaccard=0.25"
companies_1956_to_2013,23,Public offer and private placement.—(1) A public company may issue securities,3,"DEFINITIONS OF \""COMPANY\"", \""EXISTING COMPANY\"", \""PRIVATE COMPANY\"" AND \""PUBLIC COMPANY\",2.750,"shared_keywords=['private', 'public']; title_jaccard=0.25"
companies_2013_to_1956,48,Variations of shareholders’ rights. —(1) Where a share capital of the company is divided into,107,RIGHTS OF DISSENTIENT SHAREHOLDERS,2.750,"shared_keywords=['rights', 'shareholders']; title_jaccard=0.25"
companies_1956_to_2013,48,Variations of shareholders’ rights. —(1) Where a share capital of the company is divided into,107,RIGHTS OF DISSENTIENT SHAREHOLDERS,2.750,"shared_keywords=['rights', 'shareholders']; title_jaccard=0.25"
companies_2013_to_1956,71,Debentures.—(1) A company may issue debentures with an option to convert such debentures into,121,POWER TO RE-ISSUE REDEEMED DEBENTURES IN CERTAIN CASES,2.750,"shared_keywords=['debentures', 'issue']; title_jaccard=0.25"
companies_1956_to_2013,71,Debentures.—(1) A company may issue debentures with an option to convert such debentures into,121,POWER TO RE-ISSUE REDEEMED DEBENTURES IN CERTAIN CASES,2.750,"shared_keywords=['debentures', 'issue']; title_jaccard=0.25"
companies_2013_to_1956,82,Company to report satisfaction of charge.—(1) A company shall give intimation to the Registrar,138,COMPANY TO REPORT SATISFACTION AND PROCEDURE THEREAFTER,2.750,"shared_keywords=['report', 'satisfaction']; title_jaccard=0.25"
companies_1956_to_2013,82,Company to report satisfaction of charge.—(1) A company shall give intimation to the Registrar,138,COMPANY TO REPORT SATISFACTION AND PROCEDURE THEREAFTER,2.750,"shared_keywords=['report', 'satisfaction']; title_jaccard=0.25"
companies_2013_to_1956,113,Representation of corporations at meeting of companies and of credi tors.—(1) A body,187,REPRESENTATION OF CORPORATIONS AT MEETINGS OF COMPANIES AND OF CREDITORS,2.750,"shared_keywords=['corporations', 'representation']; title_jaccard=0.25"
companies_1956_to_2013,113,Representation of corporations at meeting of companies and of credi tors.—(1) A body,187,REPRESENTATION OF CORPORATIONS AT MEETINGS OF COMPANIES AND OF CREDITORS,2.750,"shared_keywords=['corporations', 'representation']; title_jaccard=0.25"
companies_2013_to_1956,117,"Resolutions and agreements to be filed. —(1) A copy of every resolution or any agreement, in",192,REGISTRATION OF CERTAIN RESOLUTIONS AND AGREEMENTS,2.750,"shared_keywords=['agreements', 'resolutions']; title_jaccard=0.25"
companies_1956_to_2013,117,"Resolutions and agreements to be filed. —(1) A copy of every resolution or any agreement, in",192,REGISTRATION OF CERTAIN RESOLUTIONS AND AGREEMENTS,2.750,"shared_keywords=['agreements', 'resolutions']; title_jaccard=0.25"
companies_2013_to_1956,121,Report on annual general meeting. —(1) Every listed public company shall prepare in the,165,STATUTORY MEETING AND STATUTORY REPORT,2.750,"shared_keywords=['meeting', 'report']; title_jaccard=0.25"
companies_1956_to_2013,121,Report on annual general meeting. —(1) Every listed public company shall prepare in the,165,STATUTORY MEETING AND STATUTORY REPORT,2.750,"shared_keywords=['meeting', 'report']; title_jaccard=0.25"
companies_2013_to_1956,232,Merger and amalgamation of companies. —(1) Where an application is made to the Tribunal,101,"APPLICATION TO 1[TRIBUNAL] FOR CONFIRMING ORDER, OBJECTIONS BY CREDITORS, AND",2.750,"shared_keywords=['application', 'tribunal']; title_jaccard=0.25"
companies_1956_to_2013,232,Merger and amalgamation of companies. —(1) Where an application is made to the Tribunal,101,"APPLICATION TO 1[TRIBUNAL] FOR CONFIRMING ORDER, OBJECTIONS BY CREDITORS, AND",2.750,"shared_keywords=['application', 'tribunal']; title_jaccard=0.25"
